sample_id,aum
tensor(45),13.576411247253418
tensor(5),12.875271797180176
tensor(2),12.857871055603027
tensor(17),12.595388412475586
tensor(8),11.851119995117188
tensor(47),11.370882034301758
tensor(39),10.829803466796875
tensor(44),10.619489669799805
tensor(38),10.108942031860352
tensor(15),9.37540054321289
tensor(19),9.271602630615234
tensor(49),9.062234878540039
tensor(40),8.916247367858887
tensor(14),8.75463581085205
tensor(4),8.65275764465332
tensor(35),8.596577644348145
tensor(7),8.574442863464355
tensor(29),8.406622886657715
tensor(34),8.295028686523438
tensor(11),7.842377662658691
tensor(12),7.620887756347656
tensor(1),7.506287097930908
tensor(21),7.444869518280029
tensor(27),7.240762710571289
tensor(20),7.215689182281494
tensor(18),7.005205154418945
tensor(41),6.955596446990967
tensor(3),6.614462375640869
tensor(32),6.411200046539307
tensor(10),6.166646957397461
tensor(9),6.021400451660156
tensor(13),5.762014865875244
tensor(0),5.2022576332092285
tensor(16),4.867484092712402
tensor(43),4.459778785705566
tensor(42),4.329428672790527
tensor(28),4.197452068328857
tensor(37),4.172044277191162
tensor(25),4.120994567871094
tensor(6),3.3658065795898438
tensor(24),3.3155722618103027
tensor(26),2.8109664916992188
tensor(48),2.518686532974243
tensor(33),2.3607594966888428
tensor(36),2.2764461040496826
tensor(23),1.9528858661651611
tensor(22),1.528303861618042
tensor(30),1.1585962772369385
tensor(31),-0.6605875492095947
tensor(46),-4.227721691131592
